Temperature,Vibration,Usage,Status,Machine
94,4.54,1,Critical,Machine A
69,2.06,3,Healthy,Machine A
69,4.27,12,Critical,Machine A
89,1.27,6,Critical,Machine A
96,3.83,12,Critical,Machine A
76,2.14,2,Warning,Machine A
60,3.76,4,Warning,Machine A
66,3.33,2,Warning,Machine A
89,3.47,5,Critical,Machine A
83,1.5,11,Critical,Machine A
73,5.19,6,Critical,Machine A
75,2.24,10,Warning,Machine A
89,1.14,2,Critical,Machine A
77,2.67,9,Warning,Machine A
84,1.68,7,Critical,Machine A
73,4.78,11,Critical,Machine A
81,4.49,10,Critical,Machine A
86,2.44,1,Critical,Machine A
61,3.65,8,Warning,Machine A
91,5.95,7,Critical,Machine A
97,1.21,9,Critical,Machine A
80,2.43,4,Warning,Machine A
78,5.08,8,Critical,Machine A
93,4.78,1,Critical,Machine A
66,3.85,2,Warning,Machine A
78,5.71,3,Critical,Machine A
77,3.3,2,Warning,Machine A
64,4.75,12,Critical,Machine A
73,3.79,8,Warning,Machine A
88,3.67,8,Critical,Machine A
97,2.9,12,Critical,Machine A
63,4.42,10,Warning,Machine A
88,5.7,1,Critical,Machine A
100,1.42,1,Critical,Machine A
87,3.89,8,Critical,Machine A
87,3.66,9,Critical,Machine A
90,1.29,4,Critical,Machine A
83,4.01,4,Critical,Machine A
90,4.55,6,Critical,Machine A
100,1.4,10,Critical,Machine A
81,3.08,11,Critical,Machine A
86,3.82,5,Critical,Machine A
77,3.14,8,Warning,Machine A
71,3.49,6,Warning,Machine A
100,1.26,11,Critical,Machine A
69,1.41,9,Healthy,Machine A
75,3.14,10,Warning,Machine A
100,1.76,1,Critical,Machine A
93,2.58,9,Critical,Machine A
97,3.45,9,Critical,Machine A
66,1.98,3,Healthy,Machine A
75,2.46,4,Warning,Machine A
95,5.45,2,Critical,Machine A
87,1.71,8,Critical,Machine A
70,4.96,5,Warning,Machine A
95,2.85,10,Critical,Machine A
74,1.56,11,Critical,Machine A
79,5.92,7,Critical,Machine A
61,1.16,1,Healthy,Machine A
92,3.52,9,Critical,Machine A
77,2.15,3,Warning,Machine A
94,5.34,4,Critical,Machine A
77,1.36,12,Critical,Machine A
66,4.26,1,Warning,Machine A
60,1.33,3,Healthy,Machine A
62,1.54,9,Healthy,Machine A
99,5.55,1,Critical,Machine A
70,4.98,4,Warning,Machine A
96,1.6,3,Critical,Machine A
77,1.84,1,Warning,Machine A
76,5.23,8,Critical,Machine A
98,4.93,10,Critical,Machine A
96,4.52,7,Critical,Machine A
65,1.06,12,Critical,Machine A
81,1.0,12,Critical,Machine A
71,3.05,2,Warning,Machine A
74,3.15,4,Warning,Machine A
82,4.97,3,Critical,Machine A
91,5.12,10,Critical,Machine A
98,5.73,10,Critical,Machine A
64,4.66,6,Warning,Machine A
86,4.46,7,Critical,Machine A
64,1.7,7,Healthy,Machine A
86,3.94,9,Critical,Machine A
74,4.52,11,Critical,Machine A
73,2.62,10,Warning,Machine A
65,4.62,5,Warning,Machine A
71,3.17,4,Warning,Machine A
71,5.28,1,Critical,Machine A
60,2.35,6,Healthy,Machine A
70,3.83,8,Warning,Machine A
77,4.9,10,Warning,Machine A
93,5.03,4,Critical,Machine A
61,1.88,1,Healthy,Machine A
83,3.71,5,Critical,Machine A
67,1.81,1,Healthy,Machine A
68,4.6,6,Warning,Machine A
92,4.05,9,Critical,Machine A
88,2.44,7,Critical,Machine A
72,2.68,7,Warning,Machine A
92,3.43,5,Critical,Machine A
92,5.59,3,Critical,Machine A
82,4.33,10,Critical,Machine A
70,2.66,6,Healthy,Machine A
97,4.28,9,Critical,Machine A
76,2.57,5,Warning,Machine A
63,5.92,5,Critical,Machine A
78,3.95,1,Warning,Machine A
89,1.19,7,Critical,Machine A
72,3.06,9,Warning,Machine A
64,2.17,1,Healthy,Machine A
88,2.84,3,Critical,Machine A
61,4.54,12,Critical,Machine A
99,4.6,6,Critical,Machine A
90,3.88,8,Critical,Machine A
92,2.34,6,Critical,Machine A
93,5.45,8,Critical,Machine A
98,2.24,7,Critical,Machine A
70,1.51,1,Healthy,Machine A
64,1.62,4,Healthy,Machine A
70,1.72,9,Healthy,Machine A
66,2.48,1,Healthy,Machine A
88,3.05,4,Critical,Machine A
61,1.96,9,Healthy,Machine A
80,3.54,11,Critical,Machine A
82,3.98,9,Critical,Machine A
60,4.4,2,Warning,Machine A
80,5.94,3,Critical,Machine A
60,1.4,2,Healthy,Machine A
78,5.64,3,Critical,Machine A
78,5.52,11,Critical,Machine A
64,2.93,11,Critical,Machine A
77,5.53,4,Critical,Machine A
66,4.1,11,Critical,Machine A
83,5.16,8,Critical,Machine A
87,5.38,6,Critical,Machine A
99,2.71,8,Critical,Machine A
68,3.74,4,Warning,Machine A
88,2.07,9,Critical,Machine A
79,2.64,9,Warning,Machine A
83,4.53,8,Critical,Machine A
90,3.72,5,Critical,Machine A
97,1.73,6,Critical,Machine A
97,1.23,12,Critical,Machine A
72,5.84,10,Critical,Machine A
76,1.05,2,Warning,Machine A
95,2.21,10,Critical,Machine A
61,3.98,7,Warning,Machine A
85,4.38,8,Critical,Machine A
62,4.66,1,Warning,Machine A
66,3.63,1,Warning,Machine A
77,1.13,9,Warning,Machine A
95,3.67,5,Critical,Machine A
84,5.79,1,Critical,Machine A
86,2.51,1,Critical,Machine A
61,4.34,8,Warning,Machine A
92,2.39,1,Critical,Machine A
80,2.56,5,Warning,Machine A
81,4.96,11,Critical,Machine A
78,1.78,6,Warning,Machine A
91,4.74,7,Critical,Machine A
95,5.22,3,Critical,Machine A
61,2.78,4,Healthy,Machine A
72,4.33,5,Warning,Machine A
63,1.36,5,Healthy,Machine A
91,1.56,3,Critical,Machine A
88,5.26,5,Critical,Machine A
91,3.31,11,Critical,Machine A
98,4.56,6,Critical,Machine A
94,3.87,4,Critical,Machine A
73,3.59,11,Critical,Machine A
63,4.5,11,Critical,Machine A
87,2.17,11,Critical,Machine A
96,2.35,8,Critical,Machine A
75,1.65,6,Warning,Machine A
99,3.18,4,Critical,Machine A
90,4.75,10,Critical,Machine A
92,4.38,8,Critical,Machine A
85,2.95,7,Critical,Machine A
71,5.67,5,Critical,Machine A
88,4.54,2,Critical,Machine A
80,4.59,8,Warning,Machine A
84,5.41,3,Critical,Machine A
73,1.43,9,Warning,Machine A
93,1.95,11,Critical,Machine A
98,2.4,7,Critical,Machine A
72,4.08,5,Warning,Machine A
72,4.88,10,Warning,Machine A
72,2.86,9,Warning,Machine A
72,3.47,4,Warning,Machine A
97,5.29,5,Critical,Machine A
76,1.05,6,Warning,Machine A
97,3.55,9,Critical,Machine A
66,1.68,6,Healthy,Machine A
69,5.24,10,Critical,Machine A
84,1.49,7,Critical,Machine A
76,1.7,1,Warning,Machine A
72,3.58,10,Warning,Machine A
82,5.13,7,Critical,Machine A
100,1.74,8,Critical,Machine A
97,4.72,8,Critical,Machine A
83,3.94,1,Critical,Machine A
96,2.04,1,Critical,Machine A
66,2.4,2,Healthy,Machine A
79,1.42,6,Warning,Machine A
61,2.09,9,Healthy,Machine A
82,1.78,3,Critical,Machine A
89,5.33,3,Critical,Machine A
76,2.74,3,Warning,Machine A
81,3.37,11,Critical,Machine A
62,5.44,12,Critical,Machine A
81,3.35,4,Critical,Machine A
99,5.75,4,Critical,Machine A
83,2.16,3,Critical,Machine A
95,1.21,1,Critical,Machine A
64,2.96,10,Healthy,Machine A
98,4.89,6,Critical,Machine A
88,1.45,2,Critical,Machine A
100,5.56,9,Critical,Machine A
85,2.28,4,Critical,Machine A
97,5.94,7,Critical,Machine A
71,3.27,3,Warning,Machine A
71,1.33,1,Warning,Machine A
100,2.1,1,Critical,Machine A
61,5.67,12,Critical,Machine A
99,4.31,12,Critical,Machine A
78,2.67,7,Warning,Machine A
92,4.37,4,Critical,Machine A
66,2.05,3,Healthy,Machine A
70,4.33,1,Warning,Machine A
62,3.09,11,Critical,Machine A
84,4.0,11,Critical,Machine A
66,5.66,12,Critical,Machine A
84,1.48,3,Critical,Machine A
97,1.12,3,Critical,Machine A
71,1.65,3,Warning,Machine A
78,4.32,10,Warning,Machine A
74,5.86,9,Critical,Machine A
90,5.06,3,Critical,Machine A
94,2.76,7,Critical,Machine A
88,5.41,5,Critical,Machine A
94,1.42,2,Critical,Machine A
91,4.43,12,Critical,Machine A
95,2.99,8,Critical,Machine A
79,4.23,2,Warning,Machine A
97,4.06,11,Critical,Machine A
60,2.1,5,Healthy,Machine A
68,2.57,12,Critical,Machine A
85,2.25,11,Critical,Machine A
90,5.05,5,Critical,Machine A
68,1.24,8,Healthy,Machine A
76,1.25,2,Warning,Machine A
81,5.36,2,Critical,Machine A
67,4.31,9,Warning,Machine A
86,2.14,4,Critical,Machine A
73,1.02,8,Warning,Machine A
86,4.11,5,Critical,Machine A
83,3.59,10,Critical,Machine A
91,4.82,5,Critical,Machine A
79,4.05,7,Warning,Machine A
74,3.79,7,Warning,Machine A
74,5.98,4,Critical,Machine A
91,1.61,10,Critical,Machine A
93,4.91,2,Critical,Machine A
79,4.54,3,Warning,Machine A
78,2.15,6,Warning,Machine A
70,2.53,3,Healthy,Machine A
73,3.69,4,Warning,Machine A
98,1.53,3,Critical,Machine A
80,1.19,7,Warning,Machine A
88,3.32,10,Critical,Machine A
74,4.22,7,Warning,Machine A
69,2.89,9,Healthy,Machine A
78,5.12,2,Critical,Machine A
81,4.08,10,Critical,Machine A
65,4.18,10,Warning,Machine A
73,5.83,11,Critical,Machine A
77,3.92,11,Critical,Machine A
78,4.36,9,Warning,Machine A
77,5.0,6,Warning,Machine A
73,4.99,3,Warning,Machine A
79,3.63,5,Warning,Machine A
85,1.34,1,Critical,Machine A
69,4.9,1,Warning,Machine A
69,5.18,4,Critical,Machine A
65,5.48,1,Critical,Machine A
79,3.71,1,Warning,Machine A
94,3.34,2,Critical,Machine A
65,5.93,9,Critical,Machine A
90,1.8,4,Critical,Machine A
83,1.71,6,Critical,Machine A
80,3.24,2,Warning,Machine A
69,5.9,7,Critical,Machine A
80,2.97,7,Warning,Machine A
100,4.86,4,Critical,Machine A
68,2.13,5,Healthy,Machine A
97,3.07,7,Critical,Machine A
83,5.64,10,Critical,Machine A
61,1.56,5,Healthy,Machine A
68,4.21,6,Warning,Machine A
91,1.61,5,Critical,Machine A
64,3.28,11,Critical,Machine A
77,5.57,9,Critical,Machine A
